Difference: 0.031352999999999895 - min/max (50 pop, 20 it)

{'node1': 'J30', 'node2': 'PO2', 'distance': 0.11670380820282569, 'coeff': 0.0024647904614007125, 'pipe_found': True}
{'node1': 'PO2', 'node2': 'PO1', 'distance': 0.14225935965639025, 'coeff': 0.001624016954109986, 'pipe_found': True}
{'node1': 'PO1', 'node2': 'HP13', 'distance': 0.16199923354619283, 'coeff': 0.0007139567905674161, 'pipe_found': True}
{'node1': 'AN/PO', 'node2': 'AN2', 'distance': 0.15649828729085036, 'coeff': 0.019088928199637346, 'pipe_found': True}
{'node1': 'AN2', 'node2': 'HP15', 'distance': 0.10526278495897312, 'coeff': 0.01259908143329528, 'pipe_found': True}
{'node1': 'HP15', 'node2': 'AN/JPII1', 'distance': 0.12866351718175226, 'coeff': 0.0039562195865150305, 'pipe_found': True}
{'node1': 'AN/JPII1', 'node2': 'AN/JPII2', 'distance': 0.14048733966487248, 'coeff': 0.0020648308977039287, 'pipe_found': True}
{'node1': 'JPII2', 'node2': 'JPII2.1', 'distance': 0.1, 'coeff': 0.004349642261313891, 'pipe_found': True}
{'node1': 'JPII2', 'node2': 'JPII3', 'distance': 0.14539583684814916, 'coeff': 0.013477008142909232, 'pipe_found': True}
{'node1': 'AN/JPII1', 'node2': 'JP21', 'distance': 0.14757992156615618, 'coeff': 0.005558618853110675, 'pipe_found': True}
{'node1': 'AN/JPII2', 'node2': 'HP16', 'distance': 0.14010328457593088, 'coeff': 0.015020181697067293, 'pipe_found': True}
{'node1': 'SW10', 'node2': 'SW11', 'distance': 0.1635986698404931, 'coeff': 0.0009125745950498421, 'pipe_found': True}
{'node1': 'SW12', 'node2': 'SW13', 'distance': 0.11680456528890587, 'coeff': 0.011105591175786822, 'pipe_found': True}
{'node1': 'SW11', 'node2': 'SW12', 'distance': 0.12426546210031697, 'coeff': 0.0012109950404205372, 'pipe_found': True}
{'node1': 'SW13', 'node2': 'SW14', 'distance': 0.10332307976907665, 'coeff': 0.0009479213779259755, 'pipe_found': True}
{'node1': 'SW/JPII', 'node2': 'HP21', 'distance': 0.26295014978237086, 'coeff': 0.004168412958698653, 'pipe_found': True}
{'node1': 'HP21', 'node2': 'SW15', 'distance': 0.23585477503893362, 'coeff': 0.004107780577028819, 'pipe_found': True}
{'node1': 'JPII4', 'node2': 'JPII3', 'distance': 0.1, 'coeff': 0.0024233302748393527, 'pipe_found': True}
{'node1': 'SW15', 'node2': 'SW/P01', 'distance': 0.13805207227133431, 'coeff': 0.001034076780861959, 'pipe_found': True}
{'node1': 'J22', 'node2': 'AN5', 'distance': 0.19397872436839947, 'coeff': 0.01496252246726587, 'pipe_found': True}
{'node1': 'AN3', 'node2': 'HP32', 'distance': 0.11756428759071405, 'coeff': 0.0013690047015306296, 'pipe_found': True}
{'node1': 'SW17', 'node2': 'J3', 'distance': 0.18472239959104828, 'coeff': 0.0064117482324902, 'pipe_found': True}
{'node1': 'J4', 'node2': 'SW/ZA', 'distance': 0.14192393539824888, 'coeff': 0.0017702805170374926, 'pipe_found': True}
{'node1': 'SW/ZA_Z', 'node2': 'ZA1', 'distance': 0.1098437642808034, 'coeff': 0.0034331598821954693, 'pipe_found': True}
{'node1': 'SW/ZA', 'node2': 'HP19', 'distance': 0.10272123007011258, 'coeff': 0.016977728050500674, 'pipe_found': True}
{'node1': 'HP19', 'node2': 'SW/LE', 'distance': 0.1426169341181372, 'coeff': 0.0002627695234857841, 'pipe_found': True}
{'node1': 'SW/LE', 'node2': 'SW18', 'distance': 0.1282974149533338, 'coeff': 0.010603905127528802, 'pipe_found': True}
{'node1': 'SW18', 'node2': 'HP18', 'distance': 0.23623777597595474, 'coeff': 0.015900656633531487, 'pipe_found': True}
{'node1': 'LE0', 'node2': 'LE1', 'distance': 0.12860730705517814, 'coeff': 0.0052995092736840225, 'pipe_found': True}
{'node1': 'SD17', 'node2': 'SD16', 'distance': 0.10300006945545076, 'coeff': 0.007190330086220953, 'pipe_found': True}
{'node1': 'LA1', 'node2': 'LA2', 'distance': 0.1, 'coeff': 0.03468537288998567, 'pipe_found': True}
{'node1': 'HP12', 'node2': 'LA3', 'distance': 0.13328165236915065, 'coeff': 0.00038614404705916705, 'pipe_found': True}
{'node1': 'LA3', 'node2': 'SD/LA', 'distance': 0.16327572097618664, 'coeff': 0.011733689156459382, 'pipe_found': True}
{'node1': 'J19', 'node2': 'SD13', 'distance': 0.19911056464634572, 'coeff': 0.003678424760828092, 'pipe_found': True}
{'node1': 'HP8', 'node2': 'SD/LA', 'distance': 0.10269889333736587, 'coeff': 0.0008895292378909626, 'pipe_found': True}
{'node1': 'SD13', 'node2': 'SD14', 'distance': 0.1847232384656109, 'coeff': 0.0008455251079694803, 'pipe_found': True}
{'node1': 'SD14', 'node2': 'HP8', 'distance': 0.10295615382597934, 'coeff': 0.00243058126448662, 'pipe_found': True}
{'node1': 'HP7', 'node2': 'GO1.1', 'distance': 0.10642454074395014, 'coeff': 0.0016665536264223958, 'pipe_found': True}
{'node1': 'GO16', 'node2': 'GO1', 'distance': 0.13105429393534776, 'coeff': 0.0004003587321204094, 'pipe_found': True}
{'node1': 'GO1.1', 'node2': 'GO1', 'distance': 0.1705830139402852, 'coeff': 0.004317017838544446, 'pipe_found': True}
{'node1': 'GO1', 'node2': 'GO2', 'distance': 0.11324191521460358, 'coeff': 0.005152566039383444, 'pipe_found': True}
{'node1': 'GO2', 'node2': 'HP6', 'distance': 0.21105950052412822, 'coeff': 0.005586149993089829, 'pipe_found': True}
{'node1': 'J15', 'node2': 'GO3', 'distance': 0.2520851608292788, 'coeff': 0.005711450742067781, 'pipe_found': True}
{'node1': 'GO3', 'node2': 'J14', 'distance': 0.20829831028154466, 'coeff': 0.0019326536837384835, 'pipe_found': True}
{'node1': 'GO4', 'node2': 'GO5', 'distance': 0.1958991613126682, 'coeff': 0.00787158580530537, 'pipe_found': True}
{'node1': 'J13', 'node2': 'HP5', 'distance': 0.18470814686755396, 'coeff': 0.013174647232122772, 'pipe_found': True}
{'node1': 'SD/GO1.1', 'node2': 'SD19', 'distance': 0.10611049103391573, 'coeff': 0.008570290665820024, 'pipe_found': True}
{'node1': 'HP5', 'node2': 'GO6', 'distance': 0.10146618662266241, 'coeff': 0.006254090787083733, 'pipe_found': True}
{'node1': 'SD/GO1', 'node2': 'SW/GO_Z', 'distance': 0.13481318646765264, 'coeff': 0.017015447160528153, 'pipe_found': True}
{'node1': 'SD18', 'node2': 'SD/GO01', 'distance': 0.1417882682190159, 'coeff': 0.0029486489581427747, 'pipe_found': True}
{'node1': 'SW20', 'node2': 'J11', 'distance': 0.1102163597338321, 'coeff': 0.007857722810920276, 'pipe_found': True}
{'node1': 'SD/LA', 'node2': 'SD15', 'distance': 0.13324953869376222, 'coeff': 0.008952770044673874, 'pipe_found': True}
{'node1': 'SD15', 'node2': 'SD/GO', 'distance': 0.10672174506236153, 'coeff': 0.02926551550238874, 'pipe_found': True}
{'node1': 'SD/GO', 'node2': 'SD19', 'distance': 0.20547916125145538, 'coeff': 0.0036972756864976698, 'pipe_found': True}
{'node1': 'J12', 'node2': 'SW/K01', 'distance': 0.1359213730510942, 'coeff': 0.004327842301057672, 'pipe_found': True}
{'node1': 'K1', 'node2': 'SW/K01', 'distance': 0.10955292576880621, 'coeff': 0.0022810506399149723, 'pipe_found': True}
