{'node1': 'HP15', 'node2': 'AN/JPII1', 'distance': 0.9, 'coeff': 0.03589088657209161, 'pipe_found': True}
{'node1': 'AN/JPII1', 'node2': 'AN/JPII2', 'distance': 0.6840355438629064, 'coeff': 0.04739412485863281, 'pipe_found': True}
{'node1': 'JPII2', 'node2': 'JPII2.1', 'distance': 0.11080313628417349, 'coeff': 0.0216006155545356, 'pipe_found': True}
{'node1': 'JPII2', 'node2': 'JPII3', 'distance': 0.701115271973903, 'coeff': 0.07502952842952759, 'pipe_found': True}
{'node1': 'AN/JPII1', 'node2': 'JP21', 'distance': 0.1307375494052571, 'coeff': 0.004259270075811417, 'pipe_found': True}
{'node1': 'AN/JPII2', 'node2': 'HP16', 'distance': 0.1, 'coeff': 0.07141974572043223, 'pipe_found': True}
{'node1': 'SW10', 'node2': 'SW11', 'distance': 0.36626144391365734, 'coeff': 0.09647806074468344, 'pipe_found': True}
{'node1': 'SW12', 'node2': 'SW13', 'distance': 0.9, 'coeff': 0.0023644967464011707, 'pipe_found': True}
{'node1': 'SW11', 'node2': 'SW12', 'distance': 0.7831422783004531, 'coeff': 0.012133717124843258, 'pipe_found': True}
{'node1': 'SW13', 'node2': 'SW14', 'distance': 0.5778824930048695, 'coeff': 0.032511191594628557, 'pipe_found': True}
{'node1': 'SW/JPII', 'node2': 'HP21', 'distance': 0.3896217952551757, 'coeff': 0.09065091572370505, 'pipe_found': True}
{'node1': 'HP21', 'node2': 'SW15', 'distance': 0.9, 'coeff': 0.030898569830422964, 'pipe_found': True}
{'node1': 'JPII4', 'node2': 'JPII3', 'distance': 0.1, 'coeff': 0.07717295076747527, 'pipe_found': True}
{'node1': 'SW15', 'node2': 'SW/P01', 'distance': 0.8337344635398178, 'coeff': 0.026849474039650156, 'pipe_found': True}
{'node1': 'SW16', 'node2': 'J20', 'distance': 0.26219934802898, 'coeff': 0.0056532115180205735, 'pipe_found': True}
{'node1': 'J22', 'node2': 'AN5', 'distance': 0.1, 'coeff': 0.00022055442826292017, 'pipe_found': True}
{'node1': 'AN3', 'node2': 'HP32', 'distance': 0.29602823927052696, 'coeff': 0.032137071685265264, 'pipe_found': True}
